subject,target,mean,sd,method,db
17,10,0.395374967359959,0.100894218889941,Pearson,JASPAR2018_CORE
18,10,0.39140419584574,0.102566133402484,Pearson,JASPAR2018_CORE
19,10,0.403454401238887,0.10109851519623,Pearson,JASPAR2018_CORE
20,10,0.398848063784067,0.0992420148376319,Pearson,JASPAR2018_CORE
21,10,0.40010238569761,0.0961187742073429,Pearson,JASPAR2018_CORE
22,10,0.400891346542042,0.093046158660953,Pearson,JASPAR2018_CORE
23,10,0.406037025083012,0.094459821860217,Pearson,JASPAR2018_CORE
24,10,0.412476283680064,0.0933080308471351,Pearson,JASPAR2018_CORE
25,10,0.412856650604416,0.0923810452091363,Pearson,JASPAR2018_CORE
26,10,0.417820550424731,0.0926623656742621,Pearson,JASPAR2018_CORE
27,10,0.412020134984282,0.0874284267002415,Pearson,JASPAR2018_CORE
28,10,0.419289883292065,0.0911433754858882,Pearson,JASPAR2018_CORE
29,10,0.417475532947365,0.0896379924182777,Pearson,JASPAR2018_CORE
30,10,0.427989509166353,0.0860994298862057,Pearson,JASPAR2018_CORE
5,11,0.413652870921288,0.148318437988252,Pearson,JASPAR2018_CORE
6,11,0.370105265650886,0.136931618839164,Pearson,JASPAR2018_CORE
7,11,0.350237196100473,0.129611821339386,Pearson,JASPAR2018_CORE
8,11,0.358481421308584,0.126904031709622,Pearson,JASPAR2018_CORE
9,11,0.365743293164152,0.115069922548111,Pearson,JASPAR2018_CORE
10,11,0.371605016289389,0.116097399500771,Pearson,JASPAR2018_CORE
11,11,0.36663352696489,0.120060275086468,Pearson,JASPAR2018_CORE
12,11,0.380303182203795,0.106929999637441,Pearson,JASPAR2018_CORE
13,11,0.384825330350871,0.108606874126532,Pearson,JASPAR2018_CORE
14,11,0.389531617764948,0.103188497373217,Pearson,JASPAR2018_CORE
15,11,0.391314203001434,0.102006602960468,Pearson,JASPAR2018_CORE
16,11,0.393694686437978,0.101273705716489,Pearson,JASPAR2018_CORE
17,11,0.396677547275487,0.0972203597655944,Pearson,JASPAR2018_CORE
18,11,0.396226855451574,0.101881809741241,Pearson,JASPAR2018_CORE
19,11,0.403811836220776,0.100806612986283,Pearson,JASPAR2018_CORE
20,11,0.400330719480604,0.101256400557704,Pearson,JASPAR2018_CORE
21,11,0.400931537242813,0.096168000909054,Pearson,JASPAR2018_CORE
22,11,0.409114644029887,0.096591061991754,Pearson,JASPAR2018_CORE
23,11,0.41240022967892,0.0938315850107942,Pearson,JASPAR2018_CORE
24,11,0.410964443614858,0.0918697728089559,Pearson,JASPAR2018_CORE
25,11,0.416711985600658,0.0933368971363321,Pearson,JASPAR2018_CORE
26,11,0.419231430732998,0.0915853413636842,Pearson,JASPAR2018_CORE
27,11,0.415168377100422,0.0893777534128979,Pearson,JASPAR2018_CORE
28,11,0.419047478710697,0.0927617516283205,Pearson,JASPAR2018_CORE
29,11,0.414229037535263,0.0890532916383878,Pearson,JASPAR2018_CORE
30,11,0.424322277549195,0.0882245857268626,Pearson,JASPAR2018_CORE
5,12,0.417983963845594,0.147137863673205,Pearson,JASPAR2018_CORE
6,12,0.369435560847186,0.139992676449454,Pearson,JASPAR2018_CORE
7,12,0.354921699189259,0.12736616852535,Pearson,JASPAR2018_CORE
8,12,0.3638957101461,0.121961835276598,Pearson,JASPAR2018_CORE
9,12,0.361648361475891,0.114114443649336,Pearson,JASPAR2018_CORE
10,12,0.371867046956698,0.113752953414842,Pearson,JASPAR2018_CORE
11,12,0.375436713059454,0.111451865917269,Pearson,JASPAR2018_CORE
12,12,0.356490482023256,0.110498129010567,Pearson,JASPAR2018_CORE
13,12,0.379346948119819,0.108196879164939,Pearson,JASPAR2018_CORE
14,12,0.382700469481241,0.105282715849317,Pearson,JASPAR2018_CORE
15,12,0.383444291247705,0.103154312868974,Pearson,JASPAR2018_CORE
16,12,0.389013944359519,0.105529945073508,Pearson,JASPAR2018_CORE
17,12,0.39199397833191,0.100811084678224,Pearson,JASPAR2018_CORE
18,12,0.391369471294169,0.10220445129716,Pearson,JASPAR2018_CORE
19,12,0.391018523388219,0.0993904368747206,Pearson,JASPAR2018_CORE
20,12,0.39032743624078,0.0995978741389033,Pearson,JASPAR2018_CORE
21,12,0.396423345453832,0.0975320252190312,Pearson,JASPAR2018_CORE
22,12,0.398115615341289,0.0946853127608034,Pearson,JASPAR2018_CORE
23,12,0.400336503229089,0.0928739731279779,Pearson,JASPAR2018_CORE
24,12,0.4036703824737,0.0929653497367061,Pearson,JASPAR2018_CORE
25,12,0.405410954695059,0.0956654835176239,Pearson,JASPAR2018_CORE
26,12,0.406884077112118,0.0925100177167977,Pearson,JASPAR2018_CORE
27,12,0.405961453700994,0.0918828124358965,Pearson,JASPAR2018_CORE
28,12,0.408527937285809,0.0947186484382066,Pearson,JASPAR2018_CORE
29,12,0.406725131930105,0.0902128363517347,Pearson,JASPAR2018_CORE
30,12,0.411981039124492,0.0864526854120872,Pearson,JASPAR2018_CORE
5,13,0.439668033444214,0.138923475492083,Pearson,JASPAR2018_CORE
6,13,0.395709292905134,0.130159269884763,Pearson,JASPAR2018_CORE
7,13,0.37538291854935,0.122052797564574,Pearson,JASPAR2018_CORE
