subject,target,mean,sd,method,db
9,7,2.02356041784032,0.473317672161051,KL,JASPAR2018_CORE
10,7,1.991315892587,0.458006393749776,KL,JASPAR2018_CORE
11,7,1.97172781649173,0.473154047516359,KL,JASPAR2018_CORE
12,7,1.94001947696929,0.458547460230894,KL,JASPAR2018_CORE
13,7,1.92987073179552,0.448695078517473,KL,JASPAR2018_CORE
14,7,1.91140562700034,0.447892309354947,KL,JASPAR2018_CORE
15,7,1.92239566687351,0.457976826884027,KL,JASPAR2018_CORE
16,7,1.87696455524341,0.438862805132121,KL,JASPAR2018_CORE
17,7,1.84985365947138,0.432030185523007,KL,JASPAR2018_CORE
18,7,1.85284802958695,0.435657154721426,KL,JASPAR2018_CORE
19,7,1.86390965878707,0.442090124245883,KL,JASPAR2018_CORE
20,7,1.83417861501107,0.419771142576334,KL,JASPAR2018_CORE
21,7,1.81055623262557,0.42354722764078,KL,JASPAR2018_CORE
22,7,1.81827109916477,0.431772036418811,KL,JASPAR2018_CORE
23,7,1.83171987802002,0.430024864077872,KL,JASPAR2018_CORE
24,7,1.81980515078846,0.428814489233992,KL,JASPAR2018_CORE
25,7,1.8122734527461,0.430921988445366,KL,JASPAR2018_CORE
26,7,1.80833136122048,0.425371029949785,KL,JASPAR2018_CORE
27,7,1.7864292791242,0.417294973165918,KL,JASPAR2018_CORE
28,7,1.78770055258948,0.41547728567548,KL,JASPAR2018_CORE
29,7,1.79604484157846,0.422288307817809,KL,JASPAR2018_CORE
30,7,1.77944810402996,0.41671115999612,KL,JASPAR2018_CORE
5,8,1.66330256217028,0.548711990822455,KL,JASPAR2018_CORE
6,8,1.77120798047957,0.563584690905304,KL,JASPAR2018_CORE
7,8,1.68386373854921,0.548230373390153,KL,JASPAR2018_CORE
8,8,1.66449324449926,0.728356995079628,KL,JASPAR2018_CORE
9,8,1.59499396160416,0.513400453548913,KL,JASPAR2018_CORE
10,8,1.56844895510009,0.505649579983652,KL,JASPAR2018_CORE
11,8,1.55695389175009,0.496824859418046,KL,JASPAR2018_CORE
12,8,1.53582058974013,0.495368502014272,KL,JASPAR2018_CORE
13,8,1.52366218518442,0.496330393669557,KL,JASPAR2018_CORE
14,8,1.50951213763772,0.487645808455613,KL,JASPAR2018_CORE
15,8,1.49827661457089,0.481529960294619,KL,JASPAR2018_CORE
16,8,1.49045122369328,0.482965951015257,KL,JASPAR2018_CORE
17,8,1.48096263695003,0.486155309718389,KL,JASPAR2018_CORE
18,8,1.46416709491329,0.476235715779709,KL,JASPAR2018_CORE
19,8,1.45996225225721,0.472133446250889,KL,JASPAR2018_CORE
20,8,1.45755064125104,0.474500343382502,KL,JASPAR2018_CORE
21,8,1.44067005335397,0.47211120227842,KL,JASPAR2018_CORE
22,8,1.44301905558191,0.472964700503429,KL,JASPAR2018_CORE
23,8,1.44216568735503,0.467991987138422,KL,JASPAR2018_CORE
24,8,1.43976192787274,0.466069548235766,KL,JASPAR2018_CORE
25,8,1.42830396664962,0.464371284703429,KL,JASPAR2018_CORE
26,8,1.43011481623334,0.466850328790904,KL,JASPAR2018_CORE
27,8,1.4266579394904,0.470108183740915,KL,JASPAR2018_CORE
28,8,1.41879577808498,0.464375721358773,KL,JASPAR2018_CORE
29,8,1.41603100064639,0.463294052192744,KL,JASPAR2018_CORE
30,8,1.41082459970113,0.462173771445878,KL,JASPAR2018_CORE
5,9,1.24915429721619,0.535334635747557,KL,JASPAR2018_CORE
6,9,1.43545416472481,0.535619448394924,KL,JASPAR2018_CORE
7,9,1.38261607749285,0.512795219015702,KL,JASPAR2018_CORE
8,9,1.34778407585956,0.49942893169596,KL,JASPAR2018_CORE
9,9,1.35558889392481,0.747021263550741,KL,JASPAR2018_CORE
10,9,1.30090764294346,0.486914628055701,KL,JASPAR2018_CORE
11,9,1.2910544436515,0.478031337482429,KL,JASPAR2018_CORE
12,9,1.27642888430318,0.470898497172629,KL,JASPAR2018_CORE
13,9,1.26294244532855,0.469643070203853,KL,JASPAR2018_CORE
14,9,1.2533112095422,0.466630889601137,KL,JASPAR2018_CORE
