subject,target,mean,sd,method,db
11,12,0.398048435802213,0.0632928606612064,Euclidean,JASPAR2018_CORE
12,12,0.400926378793256,0.0717069008153089,Euclidean,JASPAR2018_CORE
13,12,0.394520219392142,0.0634087682639474,Euclidean,JASPAR2018_CORE
14,12,0.393258409303384,0.0635721060046731,Euclidean,JASPAR2018_CORE
15,12,0.394123861820447,0.0627930668163117,Euclidean,JASPAR2018_CORE
16,12,0.393348344424376,0.0624018882901855,Euclidean,JASPAR2018_CORE
17,12,0.390755623938844,0.0633243550344466,Euclidean,JASPAR2018_CORE
18,12,0.392619575001939,0.0637125784097888,Euclidean,JASPAR2018_CORE
19,12,0.390546338880291,0.0612640398283866,Euclidean,JASPAR2018_CORE
20,12,0.390835803389428,0.0621455323891642,Euclidean,JASPAR2018_CORE
21,12,0.391000172864763,0.0625198577314469,Euclidean,JASPAR2018_CORE
22,12,0.387635672733194,0.0630015936009824,Euclidean,JASPAR2018_CORE
23,12,0.389413727447941,0.060390831868537,Euclidean,JASPAR2018_CORE
24,12,0.388818342901115,0.0609973245900251,Euclidean,JASPAR2018_CORE
25,12,0.387617163134362,0.0616364503270978,Euclidean,JASPAR2018_CORE
26,12,0.388042801473824,0.061718873928943,Euclidean,JASPAR2018_CORE
27,12,0.388094968085691,0.0618505119209229,Euclidean,JASPAR2018_CORE
28,12,0.388886074195367,0.0625567927847913,Euclidean,JASPAR2018_CORE
29,12,0.388906759115486,0.0606932714756821,Euclidean,JASPAR2018_CORE
30,12,0.387128104432581,0.0612241485036438,Euclidean,JASPAR2018_CORE
5,13,0.341040865022319,0.0694330308559626,Euclidean,JASPAR2018_CORE
6,13,0.373451016578195,0.0632028884964137,Euclidean,JASPAR2018_CORE
7,13,0.372764890091617,0.0626811255802186,Euclidean,JASPAR2018_CORE
8,13,0.370164502280259,0.0604066966334196,Euclidean,JASPAR2018_CORE
9,13,0.36597322078751,0.0606279433019994,Euclidean,JASPAR2018_CORE
10,13,0.36945731782222,0.0589437790112382,Euclidean,JASPAR2018_CORE
11,13,0.36984330246188,0.0593250913723517,Euclidean,JASPAR2018_CORE
12,13,0.366152921437909,0.0621834372405011,Euclidean,JASPAR2018_CORE
13,13,0.37266330988188,0.0816300325464177,Euclidean,JASPAR2018_CORE
14,13,0.364485546685366,0.0599938010632399,Euclidean,JASPAR2018_CORE
15,13,0.366407650007675,0.0586867282029318,Euclidean,JASPAR2018_CORE
16,13,0.364956706673884,0.0602062360506637,Euclidean,JASPAR2018_CORE
17,13,0.36400297623672,0.0587243256520289,Euclidean,JASPAR2018_CORE
18,13,0.36560087622615,0.0590864671609693,Euclidean,JASPAR2018_CORE
19,13,0.3648960786816,0.0583706293969658,Euclidean,JASPAR2018_CORE
20,13,0.3644960851555,0.0588336349593543,Euclidean,JASPAR2018_CORE
21,13,0.363864391387447,0.0592847734126008,Euclidean,JASPAR2018_CORE
22,13,0.361850033325034,0.0582729490494134,Euclidean,JASPAR2018_CORE
23,13,0.365023397058252,0.0571216955067423,Euclidean,JASPAR2018_CORE
24,13,0.364435863687875,0.0574009425649213,Euclidean,JASPAR2018_CORE
25,13,0.361851802031112,0.0588250259943781,Euclidean,JASPAR2018_CORE
26,13,0.36265072715436,0.0574176956855253,Euclidean,JASPAR2018_CORE
27,13,0.361906592448784,0.0587548399923972,Euclidean,JASPAR2018_CORE
28,13,0.362441553613221,0.0581034801832361,Euclidean,JASPAR2018_CORE
29,13,0.364915048929377,0.0572733830514394,Euclidean,JASPAR2018_CORE
30,13,0.360405000043439,0.0585829044255825,Euclidean,JASPAR2018_CORE
5,14,0.333065067874409,0.0840667039072866,Euclidean,JASPAR2018_CORE
6,14,0.365204989219956,0.0763112578714667,Euclidean,JASPAR2018_CORE
7,14,0.364483053162523,0.076576237062801,Euclidean,JASPAR2018_CORE
8,14,0.363622627469173,0.0747614122804423,Euclidean,JASPAR2018_CORE
9,14,0.358270825786465,0.0765094184613051,Euclidean,JASPAR2018_CORE
10,14,0.360148192953569,0.0747940110892388,Euclidean,JASPAR2018_CORE
11,14,0.361944823609632,0.0746883521297725,Euclidean,JASPAR2018_CORE
12,14,0.360362175929521,0.0760864754691335,Euclidean,JASPAR2018_CORE
13,14,0.358234921763363,0.0754168600745929,Euclidean,JASPAR2018_CORE
14,14,0.366634758353347,0.0907922208456063,Euclidean,JASPAR2018_CORE
15,14,0.36006327688249,0.0738098022641728,Euclidean,JASPAR2018_CORE
16,14,0.357449070947179,0.0758343709525708,Euclidean,JASPAR2018_CORE
17,14,0.356744644024784,0.0748844543233285,Euclidean,JASPAR2018_CORE
18,14,0.358264561748762,0.0739426304260892,Euclidean,JASPAR2018_CORE
19,14,0.358331675289328,0.0737429201787318,Euclidean,JASPAR2018_CORE
20,14,0.358222429968755,0.0732645643677703,Euclidean,JASPAR2018_CORE
21,14,0.357927674190169,0.0750109929854626,Euclidean,JASPAR2018_CORE
22,14,0.354485890308372,0.0738325768173009,Euclidean,JASPAR2018_CORE
23,14,0.358949975896764,0.0719541439731075,Euclidean,JASPAR2018_CORE
24,14,0.357493164590041,0.0724696664333722,Euclidean,JASPAR2018_CORE
25,14,0.35589852111023,0.0737633645032091,Euclidean,JASPAR2018_CORE
26,14,0.356909876757083,0.0727623301247356,Euclidean,JASPAR2018_CORE
27,14,0.356362387728112,0.0740810797879447,Euclidean,JASPAR2018_CORE
28,14,0.357277466903163,0.0736836519584071,Euclidean,JASPAR2018_CORE
29,14,0.359382218932737,0.0725149816806723,Euclidean,JASPAR2018_CORE
30,14,0.355317428098552,0.0740790609574199,Euclidean,JASPAR2018_CORE
5,15,0.282244408360141,0.0735431247774743,Euclidean,JASPAR2018_CORE
6,15,0.312906034342265,0.0710336386825267,Euclidean,JASPAR2018_CORE
7,15,0.31481893620913,0.071999459033797,Euclidean,JASPAR2018_CORE
8,15,0.314605720327329,0.0708752546720701,Euclidean,JASPAR2018_CORE
9,15,0.307486010982757,0.0723409168930486,Euclidean,JASPAR2018_CORE
10,15,0.311167567499866,0.0699650017233041,Euclidean,JASPAR2018_CORE
11,15,0.310236742291656,0.0705679382916639,Euclidean,JASPAR2018_CORE
12,15,0.310207950677974,0.0712243385513478,Euclidean,JASPAR2018_CORE
13,15,0.30947929769188,0.0707320415025531,Euclidean,JASPAR2018_CORE
14,15,0.309975573044075,0.070335589599117,Euclidean,JASPAR2018_CORE
15,15,0.318043372389221,0.0805377836670558,Euclidean,JASPAR2018_CORE
16,15,0.306649362117032,0.071570028423151,Euclidean,JASPAR2018_CORE
17,15,0.307933119936601,0.0704762229526621,Euclidean,JASPAR2018_CORE
18,15,0.309169575702617,0.070791725314352,Euclidean,JASPAR2018_CORE
19,15,0.310849556941703,0.0699296975689668,Euclidean,JASPAR2018_CORE
20,15,0.308863584261505,0.0692970856208714,Euclidean,JASPAR2018_CORE
21,15,0.308948524422273,0.0706982104499631,Euclidean,JASPAR2018_CORE
22,15,0.307115396647431,0.0691185501421637,Euclidean,JASPAR2018_CORE
23,15,0.31107949101981,0.0680254212297931,Euclidean,JASPAR2018_CORE
24,15,0.310382510568764,0.0688498240983048,Euclidean,JASPAR2018_CORE
25,15,0.307768448418278,0.0700156696035314,Euclidean,JASPAR2018_CORE
26,15,0.30963092142111,0.0687662627166446,Euclidean,JASPAR2018_CORE
27,15,0.307675726381841,0.0693812353100462,Euclidean,JASPAR2018_CORE
28,15,0.309660093650989,0.0693947206428041,Euclidean,JASPAR2018_CORE
29,15,0.311338880294982,0.0690494324269407,Euclidean,JASPAR2018_CORE
30,15,0.306252393655794,0.0706018491415117,Euclidean,JASPAR2018_CORE
5,16,0.327714051158615,0.0978679364772613,Euclidean,JASPAR2018_CORE
6,16,0.353855330913851,0.0922178893669229,Euclidean,JASPAR2018_CORE
7,16,0.354837634454766,0.0937815160690193,Euclidean,JASPAR2018_CORE
8,16,0.355660065157289,0.0904020063297959,Euclidean,JASPAR2018_CORE
9,16,0.351754904213842,0.093916393104779,Euclidean,JASPAR2018_CORE
10,16,0.354296882866434,0.0914572288799133,Euclidean,JASPAR2018_CORE
11,16,0.352376489724148,0.0933406066650657,Euclidean,JASPAR2018_CORE
12,16,0.352873899889818,0.0930823224268039,Euclidean,JASPAR2018_CORE
13,16,0.351269910018179,0.0918326015683617,Euclidean,JASPAR2018_CORE
14,16,0.35112061693278,0.0920267460401983,Euclidean,JASPAR2018_CORE
15,16,0.352551599226105,0.089834293556042,Euclidean,JASPAR2018_CORE
16,16,0.354370537857678,0.098725985789167,Euclidean,JASPAR2018_CORE
17,16,0.349406179071914,0.0928859257118135,Euclidean,JASPAR2018_CORE
18,16,0.35132592936239,0.0919262809238169,Euclidean,JASPAR2018_CORE
19,16,0.352353848270831,0.0912842452189394,Euclidean,JASPAR2018_CORE
20,16,0.351564286875635,0.0919213888776136,Euclidean,JASPAR2018_CORE
21,16,0.350864010652045,0.0918750741071591,Euclidean,JASPAR2018_CORE
22,16,0.348425809306629,0.0911117556441439,Euclidean,JASPAR2018_CORE
23,16,0.351985987831624,0.0904988655006985,Euclidean,JASPAR2018_CORE
24,16,0.352291334591222,0.089718945641007,Euclidean,JASPAR2018_CORE
25,16,0.350510463374819,0.0917985797546215,Euclidean,JASPAR2018_CORE
26,16,0.351664392055445,0.0883464085152662,Euclidean,JASPAR2018_CORE
27,16,0.350122786074442,0.0920906947223823,Euclidean,JASPAR2018_CORE
28,16,0.350733738393124,0.0920084106056133,Euclidean,JASPAR2018_CORE
29,16,0.353111132186708,0.0882894394697935,Euclidean,JASPAR2018_CORE
30,16,0.351390571968065,0.0923958699220253,Euclidean,JASPAR2018_CORE
5,17,0.274303355151395,0.086034115534741,Euclidean,JASPAR2018_CORE
6,17,0.308026010724914,0.0823933222444982,Euclidean,JASPAR2018_CORE
7,17,0.312680278514465,0.0836575793550833,Euclidean,JASPAR2018_CORE
8,17,0.313110222171073,0.0838472003405782,Euclidean,JASPAR2018_CORE
